DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_GE65,CZ051,2021,38538,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_GE65,CZ052,2021,51302,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_GE65,CZ053,2021,45911,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_GE65,CZ063,2021,45210,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_GE65,CZ064,2021,100449,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_GE65,CZ071,2021,55313,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_GE65,CZ072,2021,50279,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_GE65,CZ080,2021,99938,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_LT15,CZ010,2021,103247,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_LT15,CZ020,2021,125476,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_LT15,CZ031,2021,51795,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_LT15,CZ032,2021,45990,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_LT15,CZ041,2021,21926,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_LT15,CZ042,2021,65299,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_LT15,CZ051,2021,36359,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_LT15,CZ052,2021,43578,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_LT15,CZ053,2021,42347,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_LT15,CZ063,2021,40478,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_LT15,CZ064,2021,98505,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_LT15,CZ071,2021,50088,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_LT15,CZ072,2021,44918,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,M,Y_LT15,CZ080,2021,92733,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,CZ010,2021,1259413,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,CZ020,2021,1372588,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,CZ031,2021,636422,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,CZ032,2021,576358,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,CZ041,2021,285020,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,CZ042,2021,801586,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,CZ051,2021,437522,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,CZ052,2021,544205,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,CZ053,2021,514413,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,CZ063,2021,504004,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,CZ064,2021,1181216,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,CZ071,2021,624931,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,CZ072,2021,573718,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,CZ080,2021,1183440,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,Y15-64,CZ010,2021,807419,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,Y15-64,CZ020,2021,868866,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,Y15-64,CZ031,2021,401708,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,Y15-64,CZ032,2021,365430,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,Y15-64,CZ041,2021,182142,b
